,job_title,low_end_salary,middle_range_salary,high_end_salary,company_name,job_location,sector,type_of_ownership,size_of_company,rating_of_company,cost_of_living_index,avg_salary_index,salary_col_differential,lat,lng,state
290,RESEARCH SCIENTIST - BIOLOGICAL SAFETY,38000,60000,82000,Southwest Research Institute,"San Antonio, TX",Business Services,Nonprofit Organization,1001 to 5000 employees,3.9,92.7,58.5,24572,29.4251905,-98.4945922,TX
291,Big Data Engineer,62000,90500,119000,SpringML,"Indianapolis, IN",Information Technology,Company - Private,1 to 50 employees,4.4,90.2,88.2,56013,39.768403,-86.158068,IN
292,Data Scientist / Machine Learning Expert,86000,114500,143000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,111.6,NaN,42.3736158,-71.10973349999999,MA
293,Data Scientist,93000,121000,149000,Juniper Networks,"Sunnyvale, CA",Telecommunications,Company - Public,5001 to 10000 employees,3.8,NaN,117.9,NaN,37.36883,-122.0363496,CA
294,Senior Data Scientist,84000,110000,136000,The Integer Group,"Dallas, TX",Business Services,Subsidiary or Business Segment,501 to 1000 employees,2.2,98.5,107.2,72338,32.7766642,-96.79698789999999,TX
295,PV Scientist,60000,91500,123000,Karyopharm Therapeutics Inc.,"Newton, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,2.9,NaN,89.1,NaN,42.3370413,-71.20922139999999,MA
296,Clinical Data Analyst,52000,70500,89000,ManTech,"Portsmouth, VA",Business Services,Company - Public,5001 to 10000 employees,4.1,NaN,68.7,NaN,36.8354258,-76.2982742,VA
297,Data Engineer,48000,70500,93000,P2 Energy Solutions,"Lafayette, LA",Information Technology,Company - Private,501 to 1000 employees,3.7,89.6,68.7,36227,30.2240897,-92.0198427,LA
298,Computational Chemist/Data Scientist,56000,76500,97000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,74.5,NaN,46.28042000000001,-119.2751996,WA
299,Data Engineer,65000,92000,119000,MassMutual,"Springfield, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,106.5,89.6,51212,42.1014831,-72.589811,MA
300,Principal Data Scientist (Computational Chemistry),108000,140500,173000,Recursion Pharmaceuticals,"Salt Lake City, UT",Biotech & Pharmaceuticals,Company - Private,51 to 200 employees,4.7,105.9,136.9,99991,40.7607793,-111.8910474,UT
301,Product Engineer – Data Science,63000,82000,101000,Esri,"Arlington, VA",Information Technology,Company - Private,1001 to 5000 employees,3.5,NaN,79.9,NaN,38.8799697,-77.1067698,VA
302,"Principal Scientist, Chemistry & Immunology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
303,"Scientist/Senior Scientist, Autoimmune",90000,134500,179000,Rubius Therapeutics,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,131.0,NaN,42.3736158,-71.10973349999999,MA
304,Data Scientist,127000,164500,202000,Samba TV,"San Francisco, CA",Business Services,Company - Private,201 to 500 employees,3.3,178.6,160.3,96189,37.7749295,-122.4194155,CA
305,Market Data Analyst,31000,44000,57000,SV Microwave,"West Palm Beach, FL",Telecommunications,Company - Public,201 to 500 employees,3.4,NaN,42.9,NaN,26.7153424,-80.0533746,FL
306,Software Engineer - Data Visualization,60000,93500,127000,ClearEdge,"Annapolis Junction, MD",Information Technology,Company - Private,51 to 200 employees,4.0,NaN,91.1,NaN,39.1202934,-76.77693239999999,MD
307,Data Engineer,75000,109000,143000,SpringML,"Herndon, VA",Information Technology,Company - Private,1 to 50 employees,4.4,NaN,106.2,NaN,38.9695545,-77.3860976,VA
308,Staff Data Engineer,105000,149500,194000,Sumo Logic,"Austin, TX",Information Technology,Company - Private,501 to 1000 employees,3.8,106.6,145.7,108755,30.267153,-97.7430608,TX
309,Associate Data Engineer,45000,65500,86000,EAB,"Washington, DC",Business Services,Company - Private,1001 to 5000 employees,3.5,120.1,63.8,19527,38.9071923,-77.0368707,DC
310,Senior Data Scientist,95000,124500,154000,Brighthouse Financial,"Charlotte, NC",Insurance,Company - Public,1001 to 5000 employees,3.5,97.9,121.3,87040,35.2270869,-80.8431267,NC
311,Staff BI and Data Engineer,80000,114000,148000,Affinity Solutions,"San Jose, CA",Business Services,Company - Private,51 to 200 employees,2.9,173.5,111.1,47642,37.33874,-121.8852525,CA
312,Marketing Data Analyst,36000,49000,62000,Citadel Federal Credit Union,"Exton, PA",Finance,Nonprofit Organization,501 to 1000 employees,3.9,NaN,47.7,NaN,40.0325817,-75.6274583,PA
313,"Principal Scientist, Hematology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
314,Data Analyst,50000,71000,92000,CALIBRE Systems,"Alexandria, VA",Information Technology,Company - Private,501 to 1000 employees,3.7,NaN,69.2,NaN,38.8048355,-77.0469214,VA
315,"Director - Data, Privacy and AI Governance",67000,101000,135000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,98.4,50257,42.3600825,-71.0588801,MA
316,Data Scientist,82000,107000,132000,Esri,"Redlands, CA",Information Technology,Company - Private,1001 to 5000 employees,3.5,NaN,104.2,NaN,34.0563884,-117.2058765,CA
317,Data Scientist,85000,112500,140000,New England Biolabs,"Ipswich, MA",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,4.7,NaN,109.6,NaN,42.6791832,-70.8411558,MA
318,Staff Machine Learning Engineer,138000,181000,224000,Tapjoy,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,3.9,178.6,176.3,112611,37.7749295,-122.4194155,CA
319,Information Security Data Analyst,42000,61000,80000,Motorola Solutions,"Chicago, IL",Information Technology,Company - Public,10000+ employees,3.7,100.1,59.4,22664,41.8781136,-87.6297982,IL
320,Lead Data Engineer,190000,205000,220000,Credit Sesame,"Mountain View, CA",Information Technology,Company - Private,51 to 200 employees,4.1,NaN,199.7,NaN,37.3860517,-122.0838511,CA
321,Scientist Manufacturing - Kentucky BioProcessing,68000,103500,139000,Reynolds American,"Owensboro, KY",Manufacturing,Company - Private,5001 to 10000 employees,3.1,86.6,100.8,70323,37.7719074,-87.1111676,KY
322,Data Analytics Project Manager,34000,63000,92000,MassMutual,"Springfield, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,106.5,61.4,22268,42.1014831,-72.589811,MA
323,Consultant - Analytics Consulting,54000,62500,71000,Infosys,"Hartford, CT",Information Technology,Company - Public,10000+ employees,3.0,104.8,60.9,22405,41.7658043,-72.6733723,CT
324,Data Engineer,65000,94500,124000,Alignment Healthcare,"Orange, CA",Health Care,Company - Private,501 to 1000 employees,3.5,NaN,92.1,NaN,33.7879139,-117.8531007,CA
325,Marketing Data Analyst,35000,48500,62000,San Manuel Casino,"Highland, CA","Arts, Entertainment & Recreation",Company - Private,1001 to 5000 employees,3.6,NaN,47.3,NaN,34.1211873,-117.2015791,CA
326,Senior Scientist (Neuroscience),109000,154500,200000,Sunovion,"Marlborough, MA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,3.5,NaN,150.5,NaN,42.3459271,-71.5522874,MA
327,Machine Learning Engineer - Regulatory,61000,87000,113000,Cboe Global Markets,"Lenexa, KS",Finance,Company - Public,501 to 1000 employees,3.7,NaN,84.8,NaN,38.9536174,-94.73357089999999,KS
328,R&D Specialist/ Food Scientist,39000,52500,66000,Teasdale Latin Foods,"Hoopeston, IL",Manufacturing,Company - Private,501 to 1000 employees,2.4,NaN,51.1,NaN,40.4672587,-87.6683573,IL
329,Data Engineer,43000,64500,86000,Guidepoint,"New York, NY",Business Services,Company - Private,501 to 1000 employees,3.2,128.0,62.8,15477,40.7127753,-74.0059728,NY
330,"Scientist, Bacteriology",74000,111500,149000,Cerus Corporation,"Concord, CA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,2.1,NaN,108.6,NaN,37.9779776,-122.0310733,CA
331,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",113000,154500,196000,Takeda Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,NaN,150.5,NaN,42.3736158,-71.10973349999999,MA
332,Senior Research Scientist-Machine Learning,81000,124000,167000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,120.8,88364,40.44062479999999,-79.9958864,PA
333,Senior Data Scientist,97000,128500,160000,Maven Wave Partners,"Chicago, IL",Business Services,Company - Private,201 to 500 employees,4.4,100.1,125.2,90201,41.8781136,-87.6297982,IL
334,Analytics Manager - Data Mart,42000,64000,86000,Central California Alliance for Health,"Scotts Valley, CA",Health Care,Nonprofit Organization,501 to 1000 employees,3.5,NaN,62.4,NaN,37.048345,-122.0168296,CA
335,Sr. Data Engineer - Contract-to-Hire (Java),69000,98000,127000,Pilot Flying J Travel Centers LLC,"Knoxville, TN",Retail,Company - Private,10000+ employees,3.0,91.6,95.5,62970,35.9606384,-83.9207392,TN
336,Data Scientist - Algorithms & Inference,110000,142500,175000,Nuna,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.2,178.6,138.8,74121,37.7749295,-122.4194155,CA
337,Senior Data Scientist - R&D Oncology,102000,137000,172000,AstraZeneca,"New York, NY",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,128.0,133.5,88044,40.7127753,-74.0059728,NY
338,Data Engineer,74000,99000,124000,Pinnacol Assurance,"Denver, CO",Insurance,Nonprofit Organization,501 to 1000 employees,4.0,112.1,96.5,56151,39.7392358,-104.990251,CO
339,Food Scientist - Developer,40000,54000,68000,Palermo's Pizza,"Milwaukee, WI",Manufacturing,Company - Private,501 to 1000 employees,3.3,93.8,52.6,18095,43.0389025,-87.9064736,WI
340,Senior Data Scientist,108000,139500,171000,MathWorks,"Natick, MA",Information Technology,Company - Private,1001 to 5000 employees,4.4,NaN,135.9,NaN,42.2775281,-71.3468091,MA
341,Data Engineer,76000,109000,142000,MetroStar Systems,"Rockville, MD",Information Technology,Company - Private,201 to 500 employees,3.4,NaN,106.2,NaN,39.0839973,-77.1527578,MD
342,"Director II, Data Science - GRM Actuarial",202000,254000,306000,Liberty Mutual Insurance,"Chicago, IL",Insurance,Company - Private,10000+ employees,3.3,100.1,247.5,215730,41.8781136,-87.6297982,IL
343,"Scientist, Molecular/Cellular Biologist",49000,73000,97000,Audentes Therapeutics,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,201 to 500 employees,2.9,NaN,71.1,NaN,37.654656,-122.4077498,CA
344,Staff Scientist-Downstream Process Development,49000,81000,113000,Advanced BioScience Laboratories,"Rockville, MD",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,2.7,NaN,78.9,NaN,39.0839973,-77.1527578,MD
345,Scientist - Analytical Services,65000,99500,134000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,96.9,64560,36.09985959999999,-80.244216,NC
346,Associate Data Analyst- Graduate Development Program,32000,45500,59000,National Interstate,"Richfield, OH",Insurance,Company - Private,501 to 1000 employees,3.3,NaN,44.3,NaN,41.2397772,-81.6381785,OH
347,Sr. Data Engineer,87000,122500,158000,Moser Consulting,"Indianapolis, IN",Business Services,Company - Private,51 to 200 employees,4.5,90.2,119.3,87934,39.768403,-86.158068,IN
348,Senior Insurance Data Scientist,107000,140000,173000,TransUnion,"Chicago, IL",Finance,Company - Public,5001 to 10000 employees,3.9,100.1,136.4,101697,41.8781136,-87.6297982,IL
349,Senior Data Science Systems Engineer,56000,77500,99000,MITRE,"Hampton, VA",Government,Nonprofit Organization,5001 to 10000 employees,3.2,NaN,75.5,NaN,37.0298687,-76.34522179999999,VA
350,Senior Scientist - Regulatory Submissions,80000,117500,155000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,114.5,82624,36.09985959999999,-80.244216,NC
351,Scientist - Biomarker and Flow Cytometry,43000,70500,98000,Crown Bioscience,"San Diego, CA",Biotech & Pharmaceuticals,Company - Private,501 to 1000 employees,2.4,136.2,68.7,18395,32.715738,-117.1610838,CA
352,Revenue Analytics Manager,45000,61500,78000,HOVER,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.8,178.6,59.9,-6862,37.7749295,-122.4194155,CA
353,"Associate Scientist, LC/MS Biologics",44000,70000,96000,Q2 Solutions,"Ithaca, NY",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,2.9,101.7,68.2,31084,42.4439614,-76.5018807,NY
354,Sr. Scientist Method Development,50000,80000,110000,Q2 Solutions,"Marietta, GA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,2.9,NaN,77.9,NaN,33.95260200000001,-84.5499327,GA
355,IT - Data Engineer II,61000,90000,119000,Arbella Insurance,"Quincy, MA",Insurance,Company - Private,1001 to 5000 employees,3.4,NaN,87.7,NaN,42.2528772,-71.0022705,MA
356,"Project Scientist - Auton Lab, Robotics Institute",56000,73500,91000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,71.6,37865,40.44062479999999,-79.9958864,PA
357,Data Scientist,68000,91000,114000,Zimmerman Advertising,"Fort Lauderdale, FL",Business Services,Subsidiary or Business Segment,501 to 1000 employees,3.8,NaN,88.7,NaN,26.1224386,-80.13731740000001,FL
358,Data Scientist,150000,155000,160000,BPA Services,"Washington, DC",Information Technology,Company - Private,Unknown,5.0,120.1,151.0,109029,38.9071923,-77.0368707,DC
359,"Enterprise Architect, Data",101000,129500,158000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,126.2,78791,42.3600825,-71.0588801,MA
360,"Senior Manager, Epidemiologic Data Scientist",125000,167500,210000,Pfizer,"New York, NY",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,128.0,163.2,118528,40.7127753,-74.0059728,NY
361,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,43000,60000,77000,Associated Banc-Corp,"Green Bay, WI",Finance,Company - Public,1001 to 5000 employees,3.8,91.4,58.5,25069,44.5133188,-88.0132958,WI
362,Lead Data Scientist,139000,180000,221000,Zest AI,"Burbank, CA",Finance,Company - Private,51 to 200 employees,3.9,NaN,175.4,NaN,34.1808392,-118.3089661,CA
363,"Marketing Data Analyst, May 2020 Undergrad",44000,65000,86000,Fareportal,"New York, NY",Travel & Tourism,Company - Private,1001 to 5000 employees,3.8,128.0,63.3,15991,40.7127753,-74.0059728,NY
364,Senior Data Engineer,78000,112500,147000,Genesys,"Durham, NC",Information Technology,Company - Private,5001 to 10000 employees,4.3,99.8,109.6,74304,35.9940329,-78.898619,NC
365,Senior Data Analyst,65000,87500,110000,Moda Operandi,"New York, NY",Retail,Company - Private,201 to 500 employees,1.9,128.0,85.2,38469,40.7127753,-74.0059728,NY
366,Data Modeler - Data Solutions Engineer,37000,51500,66000,Liberty Mutual Insurance,"Indianapolis, IN",Insurance,Company - Private,10000+ employees,3.3,90.2,50.2,17009,39.768403,-86.158068,IN
367,Associate Environmental Scientist - Wildlife Biologist,38000,51000,64000,QK,"Clovis, CA",Business Services,Company - Private,51 to 200 employees,4.7,NaN,49.7,NaN,36.8252277,-119.7029194,CA
368,"Associate, Data Science, Internal Audit",43000,62500,82000,Santander,"Boston, MA",Finance,Company - Private,10000+ employees,3.1,132.6,60.9,11767,42.3600825,-71.0588801,MA
369,Sr Data Engineer (Sr BI Developer),90000,100000,110000,Tivity Health,"Chandler, AZ",Health Care,Company - Public,501 to 1000 employees,3.4,NaN,97.4,NaN,33.3061605,-111.8412502,AZ
370,Data Engineer,61000,85000,109000,BRMi,"Chantilly, VA",Information Technology,Company - Private,51 to 200 employees,4.4,NaN,82.8,NaN,38.8942786,-77.43109919999999,VA
371,Senior LiDAR Data Scientist,93000,122000,151000,Luminar Technologies,"Orlando, FL",Information Technology,Company - Private,201 to 500 employees,3.9,101.4,118.9,83237,28.5383832,-81.3789269,FL
372,Salesforce Analytics Consultant,52000,66500,81000,"Emtec, Inc.","Chicago, IL",Information Technology,Company - Private,501 to 1000 employees,3.9,100.1,64.8,28206,41.8781136,-87.6297982,IL
373,"Technology-Minded, Data Professional Opportunities",40000,70500,101000,Veterans United Home Loans,"Columbia, MO",Finance,Company - Private,1001 to 5000 employees,4.7,89.8,68.7,36151,38.9517053,-92.3340724,MO
374,Senior Data Engineer,97000,138500,180000,Praetorian,"Austin, TX",Business Services,Company - Private,51 to 200 employees,4.7,106.6,134.9,97670,30.267153,-97.7430608,TX
375,Managing Data Scientist/ML Engineer,81000,107500,134000,PA Consulting,"Boston, MA",Business Services,Company - Private,1001 to 5000 employees,3.4,132.6,104.7,56723,42.3600825,-71.0588801,MA
376,"Scientist, Pharmacometrics",84000,120500,157000,Agios Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,501 to 1000 employees,3.8,NaN,117.4,NaN,42.3736158,-71.10973349999999,MA
377,Staff Scientist- Upstream PD,49000,81000,113000,Advanced BioScience Laboratories,"Rockville, MD",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,2.7,NaN,78.9,NaN,39.0839973,-77.1527578,MD
378,Scientist Manufacturing Pharma - Kentucky BioProcessing,68000,103500,139000,Reynolds American,"Owensboro, KY",Manufacturing,Company - Private,5001 to 10000 employees,3.1,86.6,100.8,70323,37.7719074,-87.1111676,KY
379,Sr. Data Engineer,75000,107500,140000,Echo Global Logistics,"Chicago, IL",Transportation & Logistics,Company - Public,1001 to 5000 employees,3.4,100.1,104.7,69160,41.8781136,-87.6297982,IL
380,Lead Big Data Engineer,121000,162000,203000,Glassdoor,"San Francisco, CA",Information Technology,Company - Private,1001 to 5000 employees,4.0,178.6,157.8,93623,37.7749295,-122.4194155,CA
381,Product Engineer – Spatial Data Science and Statistical Analysis,52000,68500,85000,Esri,"Redlands, CA",Information Technology,Company - Private,1001 to 5000 employees,3.5,NaN,66.7,NaN,34.0563884,-117.2058765,CA
382,Sr Software Engineer (Data Scientist),81000,110500,140000,Assurant,"Westlake, OH",Insurance,Company - Public,10000+ employees,3.4,NaN,107.7,NaN,41.4553232,-81.9179173,OH
383,College Hire - Data Scientist - Open to December 2019 Graduates,63000,81000,99000,Caterpillar,"Peoria, IL",Manufacturing,Company - Public,10000+ employees,3.7,86.7,78.9,47806,40.6936488,-89.5889864,IL
384,Senior Data Scientist,110000,130000,150000,Equity Residential,"Chicago, IL",Real Estate,Company - Public,1001 to 5000 employees,4.3,100.1,126.7,91741,41.8781136,-87.6297982,IL
385,Sr. Data Engineer (ETL Developer),83000,115500,148000,F&G,"Des Moines, IA",Insurance,Subsidiary or Business Segment,201 to 500 employees,3.7,91.7,112.5,80380,41.5868353,-93.6249593,IA
386,Senior Data Scientist Artificial Intelligence,60000,80500,101000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,78.4,NaN,46.28042000000001,-119.2751996,WA
387,Analytics - Business Assurance Data Analyst,31000,43000,55000,GreatAmerica Financial Services,"Cedar Rapids, IA",Finance,Company - Private,501 to 1000 employees,4.6,88.1,41.9,9294,41.9778795,-91.6656232,IA
388,"Associate Director/Director, Safety Scientist",102000,140000,178000,Acceleron Pharma,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,136.4,NaN,42.3736158,-71.10973349999999,MA
389,Data Analyst Senior,48000,66500,85000,AmeriHealth Caritas,"Philadelphia, PA",Insurance,Company - Private,5001 to 10000 employees,3.0,103.4,64.8,26944,39.9525839,-75.1652215,PA
390,Lead Data Engineer (Python),66000,94500,123000,Strategic Employment Partners,"San Francisco, CA",Business Services,Company - Private,51 to 200 employees,4.7,178.6,92.1,26188,37.7749295,-122.4194155,CA
391,Senior Data Scientist 4 Artificial Intelligence,92000,119000,146000,PNNL,"Seattle, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,124.6,115.9,71280,47.6062095,-122.3320708,WA
392,"Director II, Data Science - GRS Predictive Analytics",150000,194500,239000,Liberty Mutual Insurance,"Chicago, IL",Insurance,Company - Private,10000+ employees,3.3,100.1,189.5,156199,41.8781136,-87.6297982,IL
393,RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,52000,71500,91000,Southwest Research Institute,"San Antonio, TX",Business Services,Nonprofit Organization,1001 to 5000 employees,3.9,92.7,69.7,36068,29.4251905,-98.4945922,TX
394,Geospatial Software Developer and Data Scientist,82000,105500,129000,Applied Research Laboratories,"Austin, TX",Education,College / University,501 to 1000 employees,3.7,106.6,102.8,64722,30.267153,-97.7430608,TX
395,Senior Scientist - Toxicologist - Product Integrity (Stewardship),47000,74000,101000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,72.1,39105,36.09985959999999,-80.244216,NC
396,Systems Engineer II - Data Analyst,49000,62500,76000,Raytheon,"Huntsville, AL",Aerospace & Defense,Company - Public,10000+ employees,3.7,91.3,60.9,27571,34.7303688,-86.5861037,AL
397,Senior Research Analytical Scientist-Non-Targeted Analysis,43000,65500,88000,RTI International,"Durham, NC",Business Services,Nonprofit Organization,1001 to 5000 employees,4.3,99.8,63.8,27295,35.9940329,-78.898619,NC
398,Director Data Science,124000,161500,199000,TRANZACT,"Fort Lee, NJ",Business Services,Company - Private,1001 to 5000 employees,3.6,NaN,157.3,NaN,40.8509333,-73.9701381,NJ
399,Sr Data Analyst - IT,52000,72500,93000,United BioSource,"Blue Bell, PA",Biotech & Pharmaceuticals,Other Organization,1001 to 5000 employees,2.1,NaN,70.6,NaN,40.1523309,-75.26628900000001,PA
400,Senior Data Engineer,97000,139000,181000,Figure Eight,"San Francisco, CA",Information Technology,Company - Public,51 to 200 employees,3.9,178.6,135.4,70632,37.7749295,-122.4194155,CA
401,Senior Data Engineer,100000,136500,173000,Tapjoy,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,3.9,178.6,133.0,68168,37.7749295,-122.4194155,CA
402,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,53000,74500,96000,Fareportal,"New York, NY",Travel & Tourism,Company - Private,1001 to 5000 employees,3.8,128.0,72.6,25536,40.7127753,-74.0059728,NY
403,Senior Scientist - Biostatistician,65000,80500,96000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,78.4,45571,36.09985959999999,-80.244216,NC
404,Data Scientist,56000,75500,95000,Sartorius,"Albuquerque, NM",Biotech & Pharmaceuticals,Company - Public,5001 to 10000 employees,3.5,92.9,73.6,39994,35.0843859,-106.650422,NM
405,Data Scientist,111000,143500,176000,1904labs,"Saint Louis, MO",Information Technology,Company - Private,51 to 200 employees,4.7,NaN,139.8,NaN,38.6270025,-90.19940419999999,MO
406,Data Scientist,75000,101000,127000,Royce Geospatial,"Springfield, VA",Aerospace & Defense,Company - Private,51 to 200 employees,5.0,NaN,98.4,NaN,38.7892801,-77.18720359999999,VA
407,Data Engineer,65000,92000,119000,MassMutual,"Springfield, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,106.5,89.6,51212,42.1014831,-72.589811,MA
408,Computational Chemist/Data Scientist,56000,76500,97000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,74.5,NaN,46.28042000000001,-119.2751996,WA
409,Principal Data Scientist (Computational Chemistry),108000,140500,173000,Recursion Pharmaceuticals,"Salt Lake City, UT",Biotech & Pharmaceuticals,Company - Private,51 to 200 employees,4.7,105.9,136.9,99991,40.7607793,-111.8910474,UT
410,Data Scientist,94000,116500,139000,Citi,"Jersey City, NJ",Finance,Company - Public,10000+ employees,3.6,NaN,113.5,NaN,40.7177545,-74.0431435,NJ
411,Principal Machine Learning Scientist,176000,232500,289000,Sage Intacct,"San Francisco, CA",Information Technology,Subsidiary or Business Segment,501 to 1000 employees,4.7,178.6,226.5,164137,37.7749295,-122.4194155,CA
412,Data Scientist,92000,120500,149000,Scale AI,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,3.5,178.6,117.4,52156,37.7749295,-122.4194155,CA
413,Product Engineer – Data Science,63000,82000,101000,Esri,"Arlington, VA",Information Technology,Company - Private,1001 to 5000 employees,3.5,NaN,79.9,NaN,38.8799697,-77.1067698,VA
414,"Principal Scientist, Chemistry & Immunology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
415,Data Scientist,118000,153000,188000,Change Healthcare,"Emeryville, CA",Information Technology,Company - Public,10000+ employees,2.7,NaN,149.1,NaN,37.8395028,-122.2892278,CA
416,Data Scientist,108000,127000,146000,MZ,"Palo Alto, CA",Information Technology,Company - Private,501 to 1000 employees,3.4,NaN,123.7,NaN,37.4418834,-122.1430195,CA
417,Data Scientist,65000,85500,106000,HG Insights,"Santa Barbara, CA",Information Technology,Company - Private,51 to 200 employees,4.7,NaN,83.3,NaN,34.4208305,-119.6981901,CA
418,Data Scientist,55000,76500,98000,"1-800-FLOWERS.COM, Inc.","Carle Place, NY",Business Services,Company - Public,1001 to 5000 employees,2.8,NaN,74.5,NaN,40.7526008,-73.6104058,NY
419,Data Scientist,94000,128000,162000,CBS Interactive,"New York, NY",Media,Subsidiary or Business Segment,1001 to 5000 employees,3.5,128.0,124.7,79012,40.7127753,-74.0059728,NY
420,Data Engineer,63000,91500,120000,"Numeric, LLC","King of Prussia, PA",Business Services,Company - Private,1 to 50 employees,3.2,NaN,89.1,NaN,40.1012856,-75.3835525,PA
421,"Scientist/Senior Scientist, Autoimmune",90000,134500,179000,Rubius Therapeutics,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,4.4,NaN,131.0,NaN,42.3736158,-71.10973349999999,MA
422,Data Scientist,127000,164500,202000,Samba TV,"San Francisco, CA",Business Services,Company - Private,201 to 500 employees,3.3,178.6,160.3,96189,37.7749295,-122.4194155,CA
423,Software Engineer - Data Visualization,60000,93500,127000,ClearEdge,"Annapolis Junction, MD",Information Technology,Company - Private,51 to 200 employees,4.0,NaN,91.1,NaN,39.1202934,-76.77693239999999,MD
424,Market Data Analyst,31000,44000,57000,SV Microwave,"West Palm Beach, FL",Telecommunications,Company - Public,201 to 500 employees,3.4,NaN,42.9,NaN,26.7153424,-80.0533746,FL
425,Staff Data Engineer,105000,149500,194000,Sumo Logic,"Austin, TX",Information Technology,Company - Private,501 to 1000 employees,3.8,106.6,145.7,108755,30.267153,-97.7430608,TX
426,Associate Data Engineer,45000,65500,86000,EAB,"Washington, DC",Business Services,Company - Private,1001 to 5000 employees,3.5,120.1,63.8,19527,38.9071923,-77.0368707,DC
427,Data Engineer,75000,109000,143000,SpringML,"Herndon, VA",Information Technology,Company - Private,1 to 50 employees,4.4,NaN,106.2,NaN,38.9695545,-77.3860976,VA
428,Staff Data Engineer,126000,177000,228000,Samsung Research America,"Mountain View, CA",Information Technology,Subsidiary or Business Segment,1001 to 5000 employees,3.7,NaN,172.4,NaN,37.3860517,-122.0838511,CA
429,Data Scientist,80000,107000,134000,Systems & Technology Research,"Arlington, VA",Aerospace & Defense,Company - Private,201 to 500 employees,4.7,NaN,104.2,NaN,38.8799697,-77.1067698,VA
430,Data Scientist,120000,154500,189000,Netskope,"Santa Clara, CA",Information Technology,Company - Private,501 to 1000 employees,4.1,NaN,150.5,NaN,37.3541079,-121.9552356,CA
